/usr/local/Cellar/python3/3.6.1/Frameworks/Python.framework/Versions/3.6/bin/python3.6 /Users/emperor/HU/BA/semisuper/test_biased_svm.py
Loaded summaries and abstracts from disk.
No. of PubMed IDs:	 2251
No. of abstracts:	 1228
CIViC sentences: 4970
Abstract sentences: 12496
PIBOSO sentences: 2712


---------------
BIASED-SVM TEST
---------------

There are 132 parameter combinations to be evaluated.
NON-NORMALIZED WEIGHTS

(0.24433734939759039, {'C_pos': 0.01, 'C_neg': 0.01, 'C': 0.1})
(0, {'C_pos': 594.33000000000004, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0, {'C_pos': 660.33000000000004, 'C_neg': 0.33000000000000002, 'C': 0.1})
(0.24433734939759039, {'C_pos': 0.01, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 2.0100000000000002, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 4.0099999999999998, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 6.0099999999999998, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 8.0099999999999998, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 10.01, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 12.01, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 14.01, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 16.010000000000002, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 18.010000000000002, 'C_neg': 0.01, 'C': 1})
(0, {'C_pos': 20.010000000000002, 'C_neg': 0.01, 'C': 1})
(1.1360555555555554, {'C_pos': 0.33000000000000002, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 66.329999999999998, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 132.33000000000001, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 198.33000000000001, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 264.32999999999998, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 330.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 396.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 462.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 528.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 594.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1})
(1.1824931129476586, {'C_pos': 660.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1})
(0.67959595959595953, {'C_pos': 0.01, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 2.0100000000000002, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 4.0099999999999998, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 6.0099999999999998, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 8.0099999999999998, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 10.01, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 12.01, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 14.01, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 16.010000000000002, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 18.010000000000002, 'C_neg': 0.01, 'C': 10})
(0, {'C_pos': 20.010000000000002, 'C_neg': 0.01, 'C': 10})
(1.2242880794701989, {'C_pos': 0.33000000000000002, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 66.329999999999998, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 132.33000000000001, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 198.33000000000001, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 264.32999999999998, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 330.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 396.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 462.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 528.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 594.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10})
(1.215071507150715, {'C_pos': 660.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10})
(1.2294922737306844, {'C_pos': 0.01, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 2.0100000000000002, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 4.0099999999999998, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 6.0099999999999998, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 8.0099999999999998, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 10.01, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 12.01, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 14.01, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 16.010000000000002, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 18.010000000000002, 'C_neg': 0.01, 'C': 100})
(1.2608933129147524, {'C_pos': 20.010000000000002, 'C_neg': 0.01, 'C': 100})
(1.2072864321608041, {'C_pos': 0.33000000000000002, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 66.329999999999998, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 132.33000000000001, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 198.33000000000001, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 264.32999999999998, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 330.33000000000004, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 396.33000000000004, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 462.33000000000004, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 528.33000000000004, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 594.33000000000004, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2012500000000002, {'C_pos': 660.33000000000004, 'C_neg': 0.33000000000000002, 'C': 100})
(1.2072864321608041, {'C_pos': 0.01, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 2.0100000000000002, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 4.0099999999999998, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 6.0099999999999998, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 8.0099999999999998, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 10.01, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 12.01, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 14.01, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 16.010000000000002, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 18.010000000000002, 'C_neg': 0.01, 'C': 1000})
(1.2012500000000002, {'C_pos': 20.010000000000002, 'C_neg': 0.01, 'C': 1000})
(1.2072864321608041, {'C_pos': 0.33000000000000002, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 66.329999999999998, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 132.33000000000001, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 198.33000000000001, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 264.32999999999998, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 330.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 396.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 462.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 528.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 594.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2012500000000002, {'C_pos': 660.33000000000004, 'C_neg': 0.33000000000000002, 'C': 1000})
(1.2072864321608041, {'C_pos': 0.01, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 2.0100000000000002, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 4.0099999999999998, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 6.0099999999999998, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 8.0099999999999998, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 10.01, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 12.01, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 14.01, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 16.010000000000002, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 18.010000000000002, 'C_neg': 0.01, 'C': 10000})
(1.2012500000000002, {'C_pos': 20.010000000000002, 'C_neg': 0.01, 'C': 10000})
(1.2072864321608041, {'C_pos': 0.33000000000000002, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 66.329999999999998, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 132.33000000000001, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 198.33000000000001, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 264.32999999999998, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 330.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 396.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 462.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 528.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 594.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10000})
(1.2012500000000002, {'C_pos': 660.33000000000004, 'C_neg': 0.33000000000000002, 'C': 10000})

Best model has parameters {'C_pos': 2.0100000000000002, 'C_neg': 0.01, 'C': 100} and PU-score 1.26089331291
Building final classifier

Training Biased-SVM took 760.798425912857 seconds

Nonsense Sentences, expecting [0, ?, 1, 1]
[ 0.  0.  1.  0.]
[[ 0.91110894  0.08889106]
 [ 0.98999599  0.01000401]
 [ 0.01918103  0.98081897]
 [ 0.82881587  0.17118413]]

biased-svm civic prediction 4586 / 4970
civic top-12
(1.0, array([  3.65537354e-08,   9.99999963e-01]), 'erlotinib).')
(1.0, array([  5.92619626e-07,   9.99999407e-01]), 'In an in vitro study, HCC1954 and KPL-4 cell lines expressing PIK3CA H1047R mutation was associated with increased sensitivity to ado-trastuzumab emtansine treatment compared to trastuzumab treated HCC1954 and KPL-4 cells.')
(1.0, array([  1.25587268e-06,   9.99998744e-01]), 'In a retrospective analysis of 74 patients with papillary renal cell carcinoma, treated with foretinib, MET germline mutation was associated with improved response rate.')
(1.0, array([  1.32269599e-06,   9.99998677e-01]), 'In an in vitro study, MCF7 cell lines expressing PIK3CA E545K mutation was associated with increased sensitivity to ado-trastuzumab emtansine treatment compared to trastuzumab treated MCF7 cells.')
(1.0, array([  1.58374148e-06,   9.99998416e-01]), 'In nine colorectal cancer patients with established V600E mutation, 1 confirmed response, 7 instances of stable disease, and 1 case of progressive disease was seen, which contrasted strongly with a 56% confirmed response rate seen in metastatic V600E melanoma patients similarly treated in the same study.')
(1.0, array([  1.83375701e-06,   9.99998166e-01]), 'The crizotinib-resistant MGH045 cell line with EML4-ALK L1196M was treated with crizotinib or ceritinib.')
(1.0, array([  1.95277793e-06,   9.99998047e-01]), 'A case-study of a patient with urothelial carcinoma reported exceptional response (14 months) in a phase 1 study of Everolimus and Pazopanib.')
(1.0, array([  1.98558674e-06,   9.99998014e-01]), '26 of these cell lines had the BRAF V600E mutation, one cell line had a G469A mutation, one had G596R mutation and one had an unspecified mutation.')
(1.0, array([  2.03047651e-06,   9.99997970e-01]), 'Two cell lines with PIK3CA Mutation (H1047R) were more sensitive to BEZ-235 than two cell lines with wild type PIK3CA (in-vitro, results from one cell line also confirmed in-vivo).')
(1.0, array([  2.11102947e-06,   9.99997889e-01]), 'A cell line with AKT E17K mutation was found to be sensitive to AKT inhibition with GSK2141795B  in this study.')
(1.0, array([  2.40936386e-06,   9.99997591e-01]), 'In a study of 908 patients with colorectal cancer, 45 patients had BRAF V600E mutations and 589 patients were BRAF wild type.')
(1.0, array([  2.69013103e-06,   9.99997310e-01]), 'Ba/F3 cell line expressing EML4-ALK variant 3 with G1202R ALK mutation was assessed for alectinib sensitivity and IC50 for survival of 868 nM was reported, which was 64.4x higher than the IC50 reported for alectinib on Ba/F3 with EML4-ALK wild type.')
civic bot-12
(0.0, array([ 0.97394441,  0.02605559]), 'LOXO-101 is an orally administered inhibitor of the TRK kinase and is highly selective only for the TRK family of receptors.')
(0.0, array([ 0.97433927,  0.02566073]), 'A quantitative meta-analysis was performed to assess optimal IHC-calculated cutoff values for the prognostic use of proliferative biomarker Ki67 in breast cancer.')
(0.0, array([ 0.97570424,  0.02429576]), 'we conclude that MAPK targeting in CRC is a valid approach that can produce meaningful responses but additional work is required to more effectively inhibit the pathway.')
(0.0, array([ 0.97638022,  0.02361978]), 'The pretreatment tumor contained a somatic nonsense mutation (Q1178*) in the tumor-suppressor gene TSC2 that inactivates the gene, allowing for activation of the mTOR pathway and resulting in sensitivity to mTOR inhibition by everolimus.')
(0.0, array([ 0.98217975,  0.01782025]), 'Immunohistochemical and genetic workup showed overexpression of c-JUN and FOS, which presumably signals through the RAAS pathway.')
(0.0, array([ 0.98262132,  0.01737868]), 'So the overall conclusion remains mixed on the significance of this polymorphism in the prognosis for cervical cancer.')
(0.0, array([ 0.98312724,  0.01687276]), 'A tumor with a functional nerve growth factor receptor may be dependent on the neurotrophin nerve growth factor for survival and may regress in its absence.')
(0.0, array([ 0.98783869,  0.01216131]), 'Toxic effects were primarily hematologic and included neutropenia (grade 3, n\u2009=\u200920 [33%]; grade 4, n\u2009=\u20092 [3%]) but no neutropenic fever.')
(0.0, array([ 0.98808201,  0.01191799]), 'we note larger cohorts will be required to confirm these results.')
(0.0, array([ 0.99035856,  0.00964144]), 'we discovered that 2HG overproduction impairs homologous recombination used in DNA repair and sensitizes cancer cells to treatment with PARP inhibitors, another class of cancer drugs that are already in clinical use.')
(0.0, array([ 0.99151471,  0.00848529]), 'Epidermal growth factor receptor (EGFR) expression and activation were evaluated by immunohistochemistry and/or phospho-arrays, real-time polimerase chain reaction, fluorescence immunostaining.')
(0.0, array([ 0.99896857,  0.00103143]), 'we used a transfection based immunoblot assay to assess the impact of TSC1 (and TSC2) variants.')

biased-svm abstracts prediction 3067 / 12496
abstracts top-12
(1.0, array([  4.38172811e-07,   9.99999562e-01]), 'CLINICALTRIALSGOV: NCT00818441.')
(1.0, array([ 0.0044003,  0.9955997]), 'In one case, V600K mutation was found.')
(1.0, array([ 0.005037,  0.994963]), 'Patients with the D842V mutation had poorer OS than those with non-D842V PDGFRA mutations: median 25.2 months (95% CI, 12.7 to 37.8) versus 59.8 months (95% CI, 43.0 to 76.5) (p=0.02).')
(1.0, array([ 0.00560365,  0.99439635]), 'The 81-fold gemcitabine resistant variant MiaPaCa2-RG was selected from pancreatic cancer cell line MiaPaCa2.')
(1.0, array([ 0.0060794,  0.9939206]), 'Following BYL719 treatment, all PIK3CA wild type cell lines, except for the SNU-1066 cell line, exhibited higher IC50 values compared to the PIK3CA mutant cell lines.')
(1.0, array([ 0.00612634,  0.99387366]), 'In vitro, using poly-D-lysine/laminin plates, KRAS mutant cell lines were resistant to cetuximab, whereas KRAS wild type lines showed sensitivity to cetuximab.')
(1.0, array([ 0.0061803,  0.9938197]), 'PIK3CA mutations were associated with shorter median PFS (mutant vs. wild type: 4.3 vs. 6.4 months) and OS (17.3 vs. 27.8 months) in capecitabine plus lapatinib-treated patients, but not in T-DM1-treated patients (PFS, 10.9 vs. 9.8 months; OS, not reached in mutant or wild type).')
(1.0, array([ 0.00643082,  0.99356918]), 'Primary endpoint was objective response rate (Response Evaluation Criteria in Solid Tumors 1.0), with tumor assessments every 8 weeks.')
(1.0, array([ 0.00684369,  0.99315631]), 'V600R mutation and double (V600E -V600M) mutation were identified in two melanomas.')
(1.0, array([ 0.00740838,  0.99259162]), 'There was also a statistically significant association of fusion type and patient sex (P = 0.03); specifically, the male:female ratio of SYT-SSX1 cases was 1:1, whereas for SYT-SSX2 cases, it was close to 1:2.')
(1.0, array([ 0.00774106,  0.99225894]), 'Mice with a combined Tsc1-Kras(G12D) mutation had dramatically reduced tumor latency (median survival: 11.6-15.6 weeks) in comparison with Kras(G12D) alone mutant mice (median survival: 27.5 weeks).')
(1.0, array([ 0.00813342,  0.99186658]), 'Of 39 patients with BRAF wild type melanoma, four partial responses were confirmed (confirmed response rate, 10%).')
abstracts bot-12
(0.0, array([ 0.99892233,  0.00107767]), 'The primary objective (to determine the maximum tolerated dose) has been reported previously.')
(0.0, array([  9.99019350e-01,   9.80650460e-04]), 'CONCLUSIONS: Our results suggest extracellular missense mutations as a novel mechanism for oncogenic EGFR activation and may help identify patients who can benefit from EGFR kinase inhibitors for treatment of glioblastoma.')
(0.0, array([  9.99088369e-01,   9.11630715e-04]), 'PURPOSE: Trastuzumab shows clinical activity in human epidermal growth factor receptor 2 (HER-2)-positive early and advanced breast cancer.')
(0.0, array([  9.99138888e-01,   8.61111989e-04]), 'METHODS: Using direct sequencing and real-time quantitative PCR, we examined PIK3CA mutations and amplification, and their association with clinicopathological characteristics and clinical outcome of gastric cancer patients.')
(0.0, array([  9.99187658e-01,   8.12342361e-04]), 'METHODS AND FINDINGS: Encouraged by the promising clinical activity of epidermal growth factor receptor (EGFR) kinase inhibitors in treating glioblastoma in humans, we have sequenced the complete EGFR coding sequence in glioma tumor samples and cell lines.')
(0.0, array([  9.99254040e-01,   7.45960360e-04]), 'Genetic lesions affecting a number of kinases and other elements within the epidermal growth factor receptor (EGFR) signaling pathway have been implicated in the pathogenesis of human non-small-cell lung cancer (NSCLC).')
(0.0, array([  9.99338134e-01,   6.61865663e-04]), 'Complementary, we established HSP27 overexpression and RNA-interference models to assess the impact of HSP27 on chemo- and radiosensitivity directly in pancreatic cancer cells.')
(0.0, array([  9.99388092e-01,   6.11907851e-04]), 'Oestrogen receptor alpha (ERalpha), progesterone receptor (PgR) and human epidermal growth factor receptor 2 (HER2) are established biomarkers evaluated at diagnosis, which identify cardinal subtypes of breast cancer.')
(0.0, array([  9.99411552e-01,   5.88448363e-04]), 'PATIENTS AND METHODS: In part A, patients received escalating doses to determine the maximum-tolerated dose (MTD).')
(0.0, array([  9.99700348e-01,   2.99651847e-04]), 'In conclusion, we support the clinical relevance of novel recurrent mutations in CLL, highlighting the adverse impact of SF3B1 and TP53 mutations, even independent of IGHV mutational status, thus underscoring the need for urgent standardization/harmonization of the detection methods.')
(0.0, array([  9.99751618e-01,   2.48381613e-04]), 'BACKGROUND AND METHODS: The nerve growth factor receptor is expressed in some neuroblastomas, in which its primary component is encoded by the TRK protooncogene.')
(0.0, array([  9.99786717e-01,   2.13283465e-04]), 'METHODS: We analyzed the MGMT promoter in tumor DNA by a methylation-specific polymerase-chain-reaction assay.')

biased-svm piboso-other prediction 862 / 2712
piboso-other top-12
(1.0, array([  8.04218173e-07,   9.99999196e-01]), 'PATIENT')
(1.0, array([  8.04218173e-07,   9.99999196e-01]), 'PATIENT')
(1.0, array([ 0.0032137,  0.9967863]), 'PATIENT/OTHER')
(1.0, array([ 0.00410323,  0.99589677]), 'STUDY OBJECTIVE')
(1.0, array([ 0.00641688,  0.99358312]), 'Eight inpatient rehabilitation facilities.')
(1.0, array([ 0.00651844,  0.99348156]), 'CONTEXT')
(1.0, array([ 0.00651844,  0.99348156]), 'CONTEXT')
(1.0, array([ 0.01720779,  0.98279221]), 'OBJECTIVE')
(1.0, array([ 0.01720779,  0.98279221]), 'OBJECTIVE')
(1.0, array([ 0.01720779,  0.98279221]), 'OBJECTIVE')
(1.0, array([ 0.01720779,  0.98279221]), 'OBJECTIVE')
(1.0, array([ 0.01720779,  0.98279221]), 'OBJECTIVE')
piboso-other bot-12
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99134865e-01,   8.65135203e-04]), 'METHODS AND RESULTS')
(0.0, array([  9.99726468e-01,   2.73532108e-04]), 'PATIENTS AND METHODS')
(0.0, array([  9.99726468e-01,   2.73532108e-04]), 'PATIENTS AND METHODS')
(0.0, array([  9.99905994e-01,   9.40059244e-05]), 'RESULTS AND CONCLUSIONS')

biased-svm piboso-outcome prediction 1169 / 3563
piboso-outcome top-12
(1.0, array([ 0.01483834,  0.98516166]), 'Fewer patients had hydrocephalus after 60 days of treatment with dexamethasone than after placebo treatment (p=0.217).')
(1.0, array([ 0.02272245,  0.97727755]), 'Epidural cement leakage was seen in 1 vertebra in 1 case and paraspinal leakage was seen in two vertebrae in 1 case.')
(1.0, array([ 0.02336394,  0.97663606]), 'Eight papers covering five studies (two RCTs and three CBAs) met inclusion criteria (total n=1108).')
(1.0, array([ 0.02352022,  0.97647978]), 'Acuity was correlated with a dietary omega-3 sufficiency index from red blood cell membranes obtained at 57 weeks postconception.')
(1.0, array([ 0.02450892,  0.97549108]), 'A decrease of RC (ANOVA P=0.05) was also observed after 30 days intake of paroxetine in comparison with placebo and was associated with changes of fMRI activation intensity (left S1M1 hypoactivation, ), without changes of S1M1 activation volume.')
(1.0, array([ 0.0262268,  0.9737732]), 'This was associated with a significant increase in the alpha-1G mRNA level.')
(1.0, array([ 0.0271031,  0.9728969]), 'Hospital stay ranged between 7 and 60 days (mean 20 days).')
(1.0, array([ 0.0275492,  0.9724508]), 'Bleeding associated with silastic sheets starts with movement of this nonadherent implant.')
(1.0, array([ 0.02781881,  0.97218119]), 'Compared to lavage the study found no significant difference.')
(1.0, array([ 0.02782571,  0.97217429]), 'Time from study entry to the first SRE was 304 days in pamidronate and 366 and 392 days in 4 and 8 mg zoledronic acid group, respectively.')
(1.0, array([ 0.02941441,  0.97058559]), 'This treatment was discontinued after 4 weeks.')
(1.0, array([ 0.03098907,  0.96901093]), 'All 47 patients with ovarian cancer, but only 7 of the 108 patients with other types of cancer, showed a CA 12-5/CEA ratio greater than 25.')
piboso-outcome bot-12
(0.0, array([ 0.99666526,  0.00333474]), 'The current review will attempt to highlight these recent developments and outline key findings that demonstrate further opportunity for the development of nicotinic agonists as novel analgesics.')
(0.0, array([ 0.99701975,  0.00298025]), 'In selected patients who can be rendered disease-free by surgery, prolonged survival is possible and an aggressive approach is recommended.')
(0.0, array([ 0.99709472,  0.00290528]), 'Antihypertensive and prednisone therapy may be important risk factors for adverse perinatal events, but further research is needed to confirm these findings.')
(0.0, array([ 0.99727896,  0.00272104]), 'Vertebroplasty is a successful therapeutic approach for the treatment of osteoporotic vertebral fractures.')
(0.0, array([ 0.99742429,  0.00257571]), 'Several aspects of screening have been inadequately studied to determine optimal methods, including which instrument to use, the age at which to screen, and which interval is most useful.')
(0.0, array([ 0.99751491,  0.00248509]), 'We also examined the effect of perianal sensation on the treatment outcome.')
(0.0, array([ 0.99798347,  0.00201653]), 'The decisions made by the various treating physicians underscore the many areas of disagreement regarding the treatment of BPI, including the diagnostic approach to defining the injury, timing of and indications for surgical intervention in birth-related ')
(0.0, array([ 0.99807058,  0.00192942]), 'The primary outcome measure failed to fall by the two points defined in our hypothesis.')
(0.0, array([ 0.99829594,  0.00170406]), 'We found that a low dose of endotoxin dramatically sensitizes the immature brain to injury and induces cerebral infarction in response to short periods of hypoxia--ischaemia that by themselves caused no or little injury.')
(0.0, array([ 0.99841619,  0.00158381]), 'The effect is mediated in part by the activation of the nAChR and possibly by the enhanced release of ACh.')
(0.0, array([ 0.99858254,  0.00141746]), 'In researching into the cause of HIV-associated neuropathy further studies are needed to determine the relative roles played by the viral infection and the activation of the immunological factors that contribute to the pathogenesis of the damage done in a')
